category,group,n_test_videos,delta_auc_pp,delta_auc_mean_3seed,delta_auc_std_across_seeds,fused_auc_mean,visual_auc_mean,delta_s42,delta_s123,delta_s2024
Fighting,human_motion,5,1.7191404445315455,0.017191404445315455,0.006740312796360442,0.9392005079158187,0.922009103470503,0.025655742582764374,0.01675580748974337,0.00916266326343862
Arrest,human_motion,5,1.7179837300537293,0.017179837300537293,0.010687632365451831,0.9096816765014788,0.8925018392009415,0.008004545054413836,0.03216934563751295,0.011365621209685095
Shooting,human_motion,22,1.0472982352184892,0.010472982352184893,0.001986871513109926,0.9566623995855833,0.9461894172333984,0.010997135876648523,0.012601603171519149,0.007820208008387008
Burglary,human_motion,12,0.734640469988838,0.00734640469988838,0.007189343381980551,0.9484128310859005,0.9410664263860121,0.010158723235185851,0.01440181359293291,-0.0025213227284536233
Shoplifting,human_motion,19,0.5519696374389798,0.005519696374389797,0.003987746788939083,0.9180948065260722,0.9125751101516825,0.00015832373584989679,0.009715291685011285,0.006685473702308209
Vandalism,human_motion,5,0.2231293604993486,0.002231293604993486,0.003341162305653459,0.974669179361617,0.9724378857566235,0.00449023749681754,0.0046959735339014985,-0.0024923302157385807
Stealing,human_motion,5,0.18215794771181404,0.0018215794771181404,0.0009364227462433955,0.9934345350316519,0.9916129555545337,0.0006377635740305587,0.0018994190769607844,0.002927555780363078
Arson,appearance,9,-0.1870745386213309,-0.001870745386213309,0.004998929197759409,0.9688471022482451,0.9707178476344582,-0.0008049595961798772,0.0036488004977779376,-0.008456077060237988
RoadAccidents,appearance,16,-0.21107171682232714,-0.0021107171682232715,0.024167570527069648,0.8713962332814482,0.8735069504496714,0.02866249783811814,-0.004618499942349752,-0.0303761494004382
Explosion,appearance,20,-0.4815592400017388,-0.004815592400017388,0.01899449221261854,0.8875499058591668,0.8923654982591843,0.021903185367493916,-0.02057629083911927,-0.015773671728426808
Abuse,human_motion,2,-0.7959075223216631,-0.00795907522321663,0.010455457126685653,0.9604704082083425,0.9684294834315589,0.0016370950138763218,-0.003014983317222275,-0.02249933736630394
Assault,human_motion,3,-0.8685445941886435,-0.008685445941886435,0.004250151752684304,0.9718430545535028,0.9805285004953892,-0.0036858691656143083,-0.008295795124071192,-0.014074673535973803
Robbery,human_motion,5,-1.4646021092304506,-0.014646021092304506,0.019668714732511302,0.8863958158376631,0.9010418369299676,0.012855550074480138,-0.024786377842154983,-0.032007235509238674
