backbone,method,condition,seed,auc
clip-vit-b-16,sar,brightness_1,42,0.8180022645810759
clip-vit-b-16,sar,brightness_2,42,0.817011970588588
clip-vit-b-16,sar,brightness_3,42,0.8240327027834554
clip-vit-b-16,sar,brightness_4,42,0.8246507881850035
clip-vit-b-16,sar,brightness_5,42,0.8151765029656802
clip-vit-b-16,sar,gaussian_noise_1,42,0.626035324373872
clip-vit-b-16,sar,gaussian_noise_2,42,0.5252187952364514
clip-vit-b-16,sar,gaussian_noise_3,42,0.5248719030092098
clip-vit-b-16,sar,gaussian_noise_4,42,0.5551859847997638
clip-vit-b-16,sar,gaussian_noise_5,42,0.5771567128985395
clip-vit-b-16,sar,jpeg_compression_1,42,0.5758310284341692
clip-vit-b-16,sar,jpeg_compression_2,42,0.4757759815830478
clip-vit-b-16,sar,jpeg_compression_3,42,0.4409248323604914
clip-vit-b-16,sar,jpeg_compression_4,42,0.379310553996141
clip-vit-b-16,sar,jpeg_compression_5,42,0.4428909270621226
clip-vit-b-16,sar,motion_blur_1,42,0.7332407660656818
clip-vit-b-16,sar,motion_blur_2,42,0.7011256951284951
clip-vit-b-16,sar,motion_blur_3,42,0.7098381408641476
clip-vit-b-16,sar,motion_blur_4,42,0.713569290656848
clip-vit-b-16,sar,motion_blur_5,42,0.6279118964842942
clip-vit-b-16,sar,brightness_1,123,0.8109899801040421
clip-vit-b-16,sar,brightness_2,123,0.8097626677957571
clip-vit-b-16,sar,brightness_3,123,0.8182587322937459
clip-vit-b-16,sar,brightness_4,123,0.8161226473630625
clip-vit-b-16,sar,brightness_5,123,0.7969310666227136
clip-vit-b-16,sar,gaussian_noise_1,123,0.6234378475985423
clip-vit-b-16,sar,gaussian_noise_2,123,0.5344062063168636
clip-vit-b-16,sar,gaussian_noise_3,123,0.5293173135957092
clip-vit-b-16,sar,gaussian_noise_4,123,0.5981422727871071
clip-vit-b-16,sar,gaussian_noise_5,123,0.6291538985344783
clip-vit-b-16,sar,jpeg_compression_1,123,0.563306572350864
clip-vit-b-16,sar,jpeg_compression_2,123,0.4639298522379783
clip-vit-b-16,sar,jpeg_compression_3,123,0.4372423239198424
clip-vit-b-16,sar,jpeg_compression_4,123,0.39516508973359676
clip-vit-b-16,sar,jpeg_compression_5,123,0.44896473795532515
clip-vit-b-16,sar,motion_blur_1,123,0.7314939012507513
clip-vit-b-16,sar,motion_blur_2,123,0.6843482328227986
clip-vit-b-16,sar,motion_blur_3,123,0.7053893190427514
clip-vit-b-16,sar,motion_blur_4,123,0.7080417952833433
clip-vit-b-16,sar,motion_blur_5,123,0.6237872580672524
clip-vit-b-16,sar,brightness_1,2024,0.8132180076381258
clip-vit-b-16,sar,brightness_2,2024,0.8149023182633884
clip-vit-b-16,sar,brightness_3,2024,0.8220556153327193
clip-vit-b-16,sar,brightness_4,2024,0.8203548914882406
clip-vit-b-16,sar,brightness_5,2024,0.8013107707527428
clip-vit-b-16,sar,gaussian_noise_1,2024,0.6228134755232577
clip-vit-b-16,sar,gaussian_noise_2,2024,0.5497932332046879
clip-vit-b-16,sar,gaussian_noise_3,2024,0.544247877962613
clip-vit-b-16,sar,gaussian_noise_4,2024,0.5911587516284057
clip-vit-b-16,sar,gaussian_noise_5,2024,0.6023753920458452
clip-vit-b-16,sar,jpeg_compression_1,2024,0.5776700680307909
clip-vit-b-16,sar,jpeg_compression_2,2024,0.4740039075636304
clip-vit-b-16,sar,jpeg_compression_3,2024,0.4451704803170316
clip-vit-b-16,sar,jpeg_compression_4,2024,0.39661048889699396
clip-vit-b-16,sar,jpeg_compression_5,2024,0.4613146584730268
clip-vit-b-16,sar,motion_blur_1,2024,0.7345096293581954
clip-vit-b-16,sar,motion_blur_2,2024,0.6928710335440373
clip-vit-b-16,sar,motion_blur_3,2024,0.7051958520164632
clip-vit-b-16,sar,motion_blur_4,2024,0.7099096071282319
clip-vit-b-16,sar,motion_blur_5,2024,0.6246603377423132
clip-vit-b-16,"sar@paper(1e-4,0.01)",brightness_1,42,0.818145902574053
clip-vit-b-16,"sar@paper(1e-4,0.01)",brightness_2,42,0.8170978854863454
clip-vit-b-16,"sar@paper(1e-4,0.01)",brightness_3,42,0.8240786472953527
clip-vit-b-16,"sar@paper(1e-4,0.01)",brightness_4,42,0.8247143961069168
clip-vit-b-16,"sar@paper(1e-4,0.01)",brightness_5,42,0.8151477039276106
clip-vit-b-16,"sar@paper(1e-4,0.01)",gaussian_noise_1,42,0.626242409549945
clip-vit-b-16,"sar@paper(1e-4,0.01)",gaussian_noise_2,42,0.5253115326040029
clip-vit-b-16,"sar@paper(1e-4,0.01)",gaussian_noise_3,42,0.5225572461826258
