category,old_auc,new_auc,old_ap,new_ap
Abuse,0.9457499664294348,0.9455522174841747,0.0023044223699095023,0.0033800298438306942
Arrest,0.9069540375053882,0.9070276214360482,0.3625904379124016,0.34096525871147043
Arson,0.971392444203947,0.9684086337108886,0.2901646461795375,0.2824841829282685
Assault,0.9832472058598214,0.98372972396052,0.358327453245591,0.3568047649578364
Burglary,0.943351569150056,0.9454105429831559,0.41148445641250125,0.4119559778428456
Explosion,0.891655228792597,0.893817972299112,0.057896052556759295,0.05908360155824609
Fighting,0.9098404213623852,0.903616978826822,0.12119379561699259,0.10818190469946272
RoadAccidents,0.8524108583640181,0.8514720612821399,0.03165442005346717,0.027729160486146587
Robbery,0.8861182473995488,0.8818969671287706,0.19043064465053086,0.17216047832233136
Shooting,0.9611704674417336,0.9595326598871026,0.2089996493211998,0.19852644389749108
Shoplifting,0.9384517718707065,0.9246532858937564,0.16075753497274975,0.1483195504070556
Stealing,0.9949777484027318,0.9946989750821313,0.7134476895208138,0.6964242248153603
Vandalism,0.978645921552496,0.9806312724594863,0.28636166600665586,0.253848105121684
