video_id,category,condition,severity,n_frames,n_compared_frames,mean_px_dev,oks,conf_drop
Abuse030,Abuse,gaussian_noise,3,155,155,27.4404,0.0622,0.0259
Abuse030,Abuse,gaussian_noise,4,155,155,30.4035,0.0605,0.0252
Abuse030,Abuse,gaussian_noise,5,155,155,29.9481,0.0602,0.0333
Abuse030,Abuse,brightness,5,155,155,14.2775,0.2232,-0.0157
Arrest030,Arrest,gaussian_noise,3,865,865,26.5756,0.007,0.2534
Arrest030,Arrest,gaussian_noise,4,865,865,27.9929,0.0036,0.2637
Arrest030,Arrest,gaussian_noise,5,865,865,28.9186,0.0027,0.2703
Arrest030,Arrest,brightness,5,865,865,11.6557,0.1081,0.1511
Arson010,Arson,gaussian_noise,3,316,316,20.8359,0.1669,0.0669
Arson010,Arson,gaussian_noise,4,316,316,20.624,0.1553,0.0677
Arson010,Arson,gaussian_noise,5,316,316,21.8298,0.129,0.0893
Arson010,Arson,brightness,5,316,316,16.2697,0.1842,0.0509
Arson016,Arson,gaussian_noise,3,180,180,25.1223,0.0327,0.1222
Arson016,Arson,gaussian_noise,4,180,180,26.6508,0.0222,0.1318
Arson016,Arson,gaussian_noise,5,180,180,27.6175,0.0168,0.1407
Arson016,Arson,brightness,5,180,180,17.6159,0.1423,0.0622
Assault006,Assault,gaussian_noise,3,810,810,21.1448,0.0572,0.2635
Assault006,Assault,gaussian_noise,4,810,810,23.8056,0.0331,0.2709
Assault006,Assault,gaussian_noise,5,810,810,25.7025,0.027,0.2728
Assault006,Assault,brightness,5,810,810,15.2821,0.2057,0.1593
Burglary005,Burglary,gaussian_noise,3,773,773,19.1558,0.0896,0.22
Burglary005,Burglary,gaussian_noise,4,773,773,23.1178,0.0448,0.253
Burglary005,Burglary,gaussian_noise,5,773,773,27.5266,0.0246,0.2822
Burglary005,Burglary,brightness,5,773,773,10.9393,0.1852,0.1348
Burglary092,Burglary,gaussian_noise,3,63,63,29.0716,0.0047,0.1773
Burglary092,Burglary,gaussian_noise,4,63,63,31.0281,0.0038,0.1876
Burglary092,Burglary,gaussian_noise,5,63,63,32.1452,0.0021,0.1931
Burglary092,Burglary,brightness,5,63,63,18.8195,0.072,0.1133
Explosion021,Explosion,gaussian_noise,3,79,79,28.0599,0.0289,0.1127
Explosion021,Explosion,gaussian_noise,4,79,79,31.3451,0.0217,0.1206
Explosion021,Explosion,gaussian_noise,5,79,79,31.6675,0.0184,0.1341
Explosion021,Explosion,brightness,5,79,79,16.2574,0.0954,0.0804
Explosion025,Explosion,gaussian_noise,3,51,51,24.5754,0.0994,0.1452
Explosion025,Explosion,gaussian_noise,4,51,51,25.7009,0.0792,0.1579
Explosion025,Explosion,gaussian_noise,5,51,51,26.74,0.0501,0.1768
Explosion025,Explosion,brightness,5,51,51,8.9435,0.3387,0.1399
Explosion028,Explosion,gaussian_noise,3,171,171,25.3207,0.0299,0.2234
Explosion028,Explosion,gaussian_noise,4,171,171,27.2259,0.0164,0.2295
Explosion028,Explosion,gaussian_noise,5,171,171,28.7164,0.0092,0.2336
Explosion028,Explosion,brightness,5,171,171,18.3374,0.1231,0.0556
Explosion036,Explosion,gaussian_noise,3,533,533,33.6964,0.0029,0.2242
Explosion036,Explosion,gaussian_noise,4,533,533,34.3012,0.0019,0.2313
