video_id,category,condition,severity,n_frames,n_compared_frames,mean_px_dev,oks,conf_drop
Abuse030,Abuse,clean_ref,0,155,155,27.6518,0.0434,-0.0079
Abuse030,Abuse,gaussian_noise,3,155,155,33.2929,0.0087,0.0919
Abuse030,Abuse,gaussian_noise,4,155,155,35.2077,0.0068,0.093
Abuse030,Abuse,gaussian_noise,5,155,155,35.2773,0.0044,0.1043
Abuse030,Abuse,brightness,5,155,155,20.6085,0.0538,0.058
Arrest030,Arrest,clean_ref,0,865,865,5.7412,0.2899,0.1257
Arrest030,Arrest,gaussian_noise,3,865,865,26.7455,0.0068,0.1277
Arrest030,Arrest,gaussian_noise,4,865,865,28.1637,0.004,0.138
Arrest030,Arrest,gaussian_noise,5,865,865,29.032,0.0028,0.1446
Arrest030,Arrest,brightness,5,865,865,11.0578,0.1382,0.0255
Arson010,Arson,clean_ref,0,316,316,17.0399,0.1973,0.0662
Arson010,Arson,gaussian_noise,3,316,316,23.6697,0.0447,0.0055
Arson010,Arson,gaussian_noise,4,316,316,22.529,0.0412,0.006
Arson010,Arson,gaussian_noise,5,316,316,23.3003,0.027,0.027
Arson010,Arson,brightness,5,316,316,13.1984,0.1817,-0.0131
Arson016,Arson,clean_ref,0,180,180,10.689,0.2841,0.0798
Arson016,Arson,gaussian_noise,3,180,180,25.285,0.0309,0.0417
Arson016,Arson,gaussian_noise,4,180,180,26.625,0.0237,0.052
Arson016,Arson,gaussian_noise,5,180,180,27.4553,0.0171,0.0631
Arson016,Arson,brightness,5,180,180,15.2883,0.224,-0.0188
Assault006,Assault,clean_ref,0,810,810,6.7688,0.4607,0.1111
Assault006,Assault,gaussian_noise,3,810,810,21.6031,0.0443,0.1527
Assault006,Assault,gaussian_noise,4,810,810,24.2535,0.0262,0.1601
Assault006,Assault,gaussian_noise,5,810,810,26.0216,0.0199,0.1619
Assault006,Assault,brightness,5,810,810,14.9672,0.2274,0.049
Burglary005,Burglary,clean_ref,0,773,773,12.759,0.4219,0.066
Burglary005,Burglary,gaussian_noise,3,773,773,23.5055,0.0711,0.1547
Burglary005,Burglary,gaussian_noise,4,773,773,28.078,0.0412,0.1877
Burglary005,Burglary,gaussian_noise,5,773,773,33.2329,0.0223,0.2171
Burglary005,Burglary,brightness,5,773,773,16.6166,0.1638,0.0688
Burglary092,Burglary,clean_ref,0,63,63,6.5814,0.2674,0.0886
Burglary092,Burglary,gaussian_noise,3,63,63,28.8208,0.0041,0.0887
Burglary092,Burglary,gaussian_noise,4,63,63,30.7123,0.0022,0.099
Burglary092,Burglary,gaussian_noise,5,63,63,31.8119,0.0015,0.1044
Burglary092,Burglary,brightness,5,63,63,17.8816,0.1548,0.0257
Explosion021,Explosion,clean_ref,0,79,79,11.9573,0.1796,0.0574
Explosion021,Explosion,gaussian_noise,3,79,79,27.9844,0.0247,0.0568
Explosion021,Explosion,gaussian_noise,4,79,79,30.3093,0.0198,0.0645
Explosion021,Explosion,gaussian_noise,5,79,79,30.3269,0.0163,0.0767
Explosion021,Explosion,brightness,5,79,79,15.3172,0.113,0.0238
Explosion025,Explosion,clean_ref,0,51,51,8.6246,0.3217,0.1164
Explosion025,Explosion,gaussian_noise,3,51,51,29.3476,0.0409,0.0488
Explosion025,Explosion,gaussian_noise,4,51,51,30.6073,0.0295,0.0577
Explosion025,Explosion,gaussian_noise,5,51,51,31.6646,0.0218,0.0785
Explosion025,Explosion,brightness,5,51,51,13.1803,0.3687,0.0322
Explosion028,Explosion,clean_ref,0,171,171,6.8961,0.3198,0.0439
Explosion028,Explosion,gaussian_noise,3,171,171,24.9476,0.013,0.1795
Explosion028,Explosion,gaussian_noise,4,171,171,27.6291,0.0063,0.1856
Explosion028,Explosion,gaussian_noise,5,171,171,29.8931,0.0037,0.1897
Explosion028,Explosion,brightness,5,171,171,20.1401,0.0585,0.0117
Explosion036,Explosion,clean_ref,0,533,533,7.5259,0.2864,0.0864
Explosion036,Explosion,gaussian_noise,3,533,533,34.3232,0.004,0.1378
Explosion036,Explosion,gaussian_noise,4,533,533,34.8013,0.0029,0.1449
Explosion036,Explosion,gaussian_noise,5,533,533,35.5123,0.0024,0.1481
Explosion036,Explosion,brightness,5,533,533,12.8285,0.2565,0.0237
Fighting042,Fighting,clean_ref,0,224,224,4.2899,0.5462,0.0828
Fighting042,Fighting,gaussian_noise,3,224,224,20.7613,0.0662,0.2433
Fighting042,Fighting,gaussian_noise,4,224,224,25.3613,0.0193,0.2764
Fighting042,Fighting,gaussian_noise,5,224,224,26.675,0.0097,0.2841
Fighting042,Fighting,brightness,5,224,224,8.321,0.3886,0.0457
Normal_Videos_003,NormalVideos,clean_ref,0,283,283,12.7857,0.2086,0.0492
Normal_Videos_003,NormalVideos,gaussian_noise,3,283,283,27.1716,0.0435,0.0194
Normal_Videos_003,NormalVideos,gaussian_noise,4,283,283,29.6814,0.0237,0.0339
Normal_Videos_003,NormalVideos,gaussian_noise,5,283,283,30.3413,0.0186,0.0407
Normal_Videos_003,NormalVideos,brightness,5,283,283,13.5386,0.2341,0.0362
Normal_Videos_014,NormalVideos,clean_ref,0,150,150,16.9055,0.0669,0.0355
