dataset,backbone,seed,metric,mean_delta,p2.5,p97.5,p_delta_gt0,n_videos,B,redraws
ucf,clip,42,auc,0.005291,-0.006045,0.015161,0.838,254,2000,0
ucf,clip,123,auc,-0.001718,-0.014177,0.010788,0.386,254,2000,0
ucf,clip,2024,auc,0.002285,-0.013679,0.016964,0.632,254,2000,0
ucf,siglip2,42,auc,0.007239,-0.006925,0.022313,0.848,254,2000,0
ucf,siglip2,123,auc,0.008214,-0.010081,0.031665,0.781,254,2000,0
ucf,siglip2,2024,auc,-0.002368,-0.014622,0.010519,0.3405,254,2000,0
ucf,so400m,42,auc,0.006003,-0.006697,0.018996,0.838,254,2000,0
ucf,so400m,123,auc,-0.0013,-0.012883,0.010167,0.4125,254,2000,0
ucf,so400m,2024,auc,-0.000922,-0.01413,0.0118,0.445,254,2000,0
ucf,giant,42,auc,0.00137,-0.010126,0.013193,0.577,254,2000,0
ucf,giant,123,auc,0.006855,-0.011725,0.024992,0.7585,254,2000,0
ucf,giant,2024,auc,-0.003091,-0.021422,0.013154,0.377,254,2000,0
xd,clip,42,ap,0.017004,0.010142,0.02438,1.0,800,2000,0
xd,clip,123,ap,0.014232,0.007774,0.020914,1.0,800,2000,0
xd,clip,2024,ap,0.026676,0.017211,0.036221,1.0,800,2000,0
xd,siglip2,42,ap,-0.012707,-0.023783,-0.001516,0.013,800,2000,0
xd,siglip2,123,ap,0.003421,-0.006036,0.013663,0.755,800,2000,0
xd,siglip2,2024,ap,0.010758,0.001206,0.020811,0.9845,800,2000,0
xd,so400m,42,ap,0.024864,0.014818,0.036329,1.0,800,2000,0
xd,so400m,123,ap,0.000601,-0.010766,0.011111,0.561,800,2000,0
xd,so400m,2024,ap,0.038011,0.023779,0.052908,1.0,800,2000,0
xd,giant,42,ap,-0.020863,-0.032129,-0.009793,0.0,800,2000,0
xd,giant,123,ap,0.00554,-0.004207,0.016433,0.8545,800,2000,0
xd,giant,2024,ap,0.015318,0.00261,0.027778,0.9905,800,2000,0
