Dataset,Variant,CLIP_AUC,CLIP_AP,SigLIP2_AUC,SigLIP2_AP,Delta_CLIP_SigLIP2_AUC,Delta_CLIP_SigLIP2_AP,SO400M_AUC,SO400M_AP,Delta_CLIP_SO400M_AUC,Delta_CLIP_SO400M_AP,Delta_SigLIP2_SO400M_AUC,Delta_SigLIP2_SO400M_AP,Giant_AUC,Giant_AP,Delta_CLIP_Giant_AUC,Delta_CLIP_Giant_AP,Delta_SigLIP2_Giant_AUC,Delta_SigLIP2_Giant_AP,Delta_SO400M_Giant_AUC,Delta_SO400M_Giant_AP
UCF,Skeleton Only,0.717960,0.152661,,,,,,,,,,,,,,,,,,
UCF,CLIP/SigLIP2/SO400M/Giant Only,0.816850,0.223399,0.791143,0.196208,-0.025707,-0.027191,0.814084,0.206981,-0.002766,-0.016418,0.022941,0.010773,0.830904,0.252007,0.014053,0.028608,0.039760,0.055799,0.016819,0.045026
UCF,Late Fusion,0.787094,0.187355,0.799254,0.202431,0.012160,0.015076,0.802629,0.189359,0.015534,0.002004,0.003374,-0.013072,0.808766,0.196414,0.021672,0.009059,0.009512,-0.006017,0.006137,0.007055
UCF,Gated Fusion,0.822651,0.231464,0.796116,0.201771,-0.026536,-0.029693,0.821781,0.204658,-0.000871,-0.026806,0.025665,0.002887,0.832266,0.292162,0.009615,0.060698,0.036151,0.090391,0.010486,0.087504
UCF,GF 2-Person,0.816519,0.220102,0.794812,0.195036,-0.021707,-0.025066,0.819697,0.213047,0.003178,-0.007055,0.024885,0.018011,0.834803,0.244738,0.018284,0.024635,0.039991,0.049702,0.015106,0.031691
UCF,GF Mean-Only,0.817769,0.234174,0.799990,0.247840,-0.017779,0.013666,0.824494,0.219797,0.006724,-0.014377,0.024504,-0.028043,0.836258,0.271660,0.018489,0.037486,0.036268,0.023820,0.011764,0.051863
XD,Skeleton Only,0.721160,0.413209,,,,,,,,,,,,,,,,,,
XD,CLIP/SigLIP2/SO400M/Giant Only,0.911264,0.705270,0.916807,0.721153,0.005544,0.015883,0.934800,0.776441,0.023536,0.071172,0.017993,0.055288,0.931257,0.762767,0.019993,0.057497,0.014450,0.041614,-0.003543,-0.013675
XD,Late Fusion,0.900015,0.654794,0.898415,0.655615,-0.001600,0.000822,0.908257,0.664195,0.008242,0.009401,0.009842,0.008579,0.908861,0.666237,0.008847,0.011443,0.010447,0.010621,0.000605,0.002042
XD,Gated Fusion,0.919991,0.719208,0.918486,0.719235,-0.001504,0.000027,0.931484,0.737667,0.011493,0.018459,0.012997,0.018431,0.926666,0.727983,0.006675,0.008775,0.008180,0.008748,-0.004817,-0.009684
XD,GF 2-Person,0.916438,0.710247,0.919307,0.730765,0.002869,0.020518,0.929594,0.748120,0.013157,0.037873,0.010287,0.017355,0.924692,0.726688,0.008254,0.016441,0.005385,-0.004077,-0.004902,-0.021432
XD,GF Mean-Only,0.914503,0.696025,0.919180,0.724489,0.004678,0.028464,0.925761,0.724681,0.011258,0.028656,0.006580,0.000192,0.925802,0.738475,0.011300,0.042450,0.006622,0.013986,0.000042,0.013795
