category,auc,ap
Abuse,0.976198051467149,0.007420517038175443
Arrest,0.8741167197625814,0.1429888987955663
Arson,0.9724766844638275,0.3009676163847714
Assault,0.9829429000139643,0.43422951643937063
Burglary,0.936692095762284,0.3336251309112282
Explosion,0.8941508505057277,0.05405550307579029
Fighting,0.9209141724501739,0.1554381300199372
RoadAccidents,0.8678960567277758,0.03244735780559357
Robbery,0.908901527603867,0.11695879054579882
Shooting,0.9475414680057784,0.16705286345478704
Shoplifting,0.9162943445916013,0.21265904700992785
Stealing,0.9921607961251361,0.40864336815543933
Vandalism,0.9720436951117251,0.12085010985296266
