category,auc,ap
Abuse,0.9740391324175997,0.00858796946403434
Arrest,0.8319555016497113,0.1347318060549767
Arson,0.9751693045136502,0.32447405076384517
Assault,0.9818788545587318,0.5567194858087838
Burglary,0.9306939537588228,0.2768449217987692
Explosion,0.8876676994680113,0.05217724595733841
Fighting,0.9391940231699467,0.08615182396799738
RoadAccidents,0.8961398701429725,0.02997663307477854
Robbery,0.9252383767838136,0.06516548856204017
Shooting,0.9370713509810066,0.17250412637024456
Shoplifting,0.8682226079092032,0.1018374428729837
Stealing,0.979027515928123,0.24076371716092346
Vandalism,0.9844098631855352,0.10432626939676634
