category,auc,ap
Abuse,0.9843211610121925,0.02408854561498202
Arrest,0.8277456150027355,0.13677498783469447
Arson,0.9565718041756175,0.2419150370968438
Assault,0.9658558387094149,0.6526181382808922
Burglary,0.8895985263521164,0.18571828177364125
Explosion,0.7988733758847848,0.04891827116218197
Fighting,0.8090689966751508,0.05597384053350672
RoadAccidents,0.8235233447192436,0.040625810082235134
Robbery,0.8181350622677506,0.019896492463629074
Shooting,0.9195828704647051,0.15360021790503894
Shoplifting,0.8558828101368998,0.10538963781199151
Stealing,0.9683061648349963,0.46621774367373836
Vandalism,0.8468139298067133,0.05379925872773522
