category,auc,ap
Abuse,0.7227869496242477,0.0018894724344977807
Arrest,0.8812965668371602,0.13343779429655608
Arson,0.9455043805696262,0.2172449307890223
Assault,0.9726857757261016,0.23435475339929834
Burglary,0.9260239386655785,0.27971266780012394
Explosion,0.8738051061103187,0.04233586894898336
Fighting,0.8181203049293425,0.02148493505517418
RoadAccidents,0.8244396222472039,0.014545498597982261
Robbery,0.9122347397250345,0.03487906662468913
Shooting,0.9281916749955386,0.2014088380373948
Shoplifting,0.8644909121705876,0.05089147337168589
Stealing,0.9814399048655498,0.3795735733131475
Vandalism,0.9657474860928631,0.15115530105292446
