category,auc,ap
Abuse,0.9225023094733231,0.003502005684753106
Arrest,0.7682761585377048,0.10608874307237107
Arson,0.9671024875062812,0.2831432612920982
Assault,0.9767196860457553,0.4436430993775004
Burglary,0.9161570147251978,0.36552130697453306
Explosion,0.8945221798057007,0.05339978313904873
Fighting,0.9402655451300659,0.08580709365832337
RoadAccidents,0.8733258027787386,0.02647653471306512
Robbery,0.9226238262877027,0.04656342016998288
Shooting,0.9397853319562277,0.15536519332811588
Shoplifting,0.8746978314482651,0.09732650635731843
Stealing,0.9783926390868727,0.26265682889546804
Vandalism,0.9868866774129805,0.12491263124843306
