category,auc,ap
Abuse,0.9288548228039539,0.003834927097808396
Arrest,0.6744392660161016,0.16342191629777297
Arson,0.9747547370273948,0.28910702428422563
Assault,0.9682697225929199,0.36991929090165976
Burglary,0.9034370966837124,0.2980095448650368
Explosion,0.8892465015155901,0.05519852533347071
Fighting,0.9272183923024245,0.07063211256023544
RoadAccidents,0.8423985537011414,0.023965163402537782
Robbery,0.878545573182743,0.032356703564768906
Shooting,0.9388928770677011,0.2665309517537623
Shoplifting,0.857255542886786,0.09819180967671523
Stealing,0.9717946664418592,0.196577283984454
Vandalism,0.9853893845426591,0.11935033924885981
