category,auc,ap
Abuse,0.9535842148960055,0.00386947367525775
Arrest,0.9063221571311192,0.1478094054015826
Arson,0.9722940974390956,0.2963708344921077
Assault,0.973433226017145,0.22526044701069675
Burglary,0.9522267077122113,0.5112289818223199
Explosion,0.9046495172047093,0.06888516732894027
Fighting,0.9365613012583398,0.11344938983733004
RoadAccidents,0.8648131233425574,0.022007092989745736
Robbery,0.8674810654965653,0.08686764807169152
Shooting,0.9525830861969422,0.15707590982749708
Shoplifting,0.9118083749243857,0.3413394709205442
Stealing,0.9962171666079102,0.7115277217739922
Vandalism,0.9766280728836696,0.16061853319018243
