category,auc,ap
Abuse,0.9604619628769215,0.00568312962050423
Arrest,0.8752270701194492,0.20982331607117832
Arson,0.9659701530222897,0.2738345284314294
Assault,0.9831439333114507,0.3903828165416487
Burglary,0.950781502798623,0.45674338438322976
Explosion,0.8757727268022604,0.05843506078702521
Fighting,0.9234515843004367,0.09019039898336435
RoadAccidents,0.8305763036146662,0.02576209218496158
Robbery,0.8858770114434488,0.07224047252821254
Shooting,0.9527596534652116,0.1810391485243588
Shoplifting,0.9092246388138243,0.1979720010706559
Stealing,0.9921045176090699,0.4496556202593197
Vandalism,0.9701510429243102,0.15430229232094556
