category,auc,ap
Abuse,0.9583425095107424,0.004311587044377327
Arrest,0.9121224777129348,0.24894999840275076
Arson,0.9677377670177112,0.24976949327771264
Assault,0.9654609826598857,0.16066729519144163
Burglary,0.9432184910608574,0.3413814296712839
Explosion,0.8983345038548735,0.05551794180057113
Fighting,0.9442351692297137,0.13866367182800726
RoadAccidents,0.8763082086648217,0.04121135783091529
Robbery,0.8960426309308714,0.107394689315906
Shooting,0.95757863776443,0.20216635089660018
Shoplifting,0.9181736780653101,0.18776020086574655
Stealing,0.991647570801592,0.3876291761193216
Vandalism,0.9778912831998324,0.32560986254756097
