category,auc,ap
Abuse,0.9367304191742805,0.005070536814176064
Arrest,0.807180155703175,0.10232490394998654
Arson,0.976673355890022,0.3050730682377817
Assault,0.9809468933485134,0.38002491708682545
Burglary,0.927995764705005,0.3454192061039585
Explosion,0.8948203648323576,0.05295866289827814
Fighting,0.9454017604722722,0.0987570100696685
RoadAccidents,0.883186415456013,0.02550187628915347
Robbery,0.9418501367881331,0.06680962645159262
Shooting,0.942550862492741,0.1639318212057179
Shoplifting,0.8555469618264229,0.08754642117844287
Stealing,0.9792847927938975,0.2381762358557809
Vandalism,0.9862923703036814,0.12081684971828915
