category,auc,ap
Abuse,0.9547676981664536,0.004451355528212081
Arrest,0.8320462702347272,0.1328157461471174
Arson,0.9554550000993567,0.2591920711159095
Assault,0.9802606200289656,0.6285906977950315
Burglary,0.9094641327620905,0.3653508793607259
Explosion,0.8469199365027843,0.05072843463276987
Fighting,0.8967524873998907,0.042127306136435845
RoadAccidents,0.9027519853280295,0.03404388237406837
Robbery,0.8634924914368911,0.026402352860216395
Shooting,0.9282782024219336,0.1287644317869013
Shoplifting,0.8754920924447772,0.2064695063708852
Stealing,0.9579837704306596,0.4904114985958997
Vandalism,0.913583031834556,0.05941982380305048
