category,auc,ap
Abuse,0.9838573174249274,0.015402472808256122
Arrest,0.7758813641882775,0.27075231213835144
Arson,0.968938892587186,0.2361322205753589
Assault,0.981581891678242,0.7865692312503969
Burglary,0.9194110141018885,0.3276443473906441
Explosion,0.8284065877194922,0.04888737020194225
Fighting,0.8622839751772707,0.06932953029386846
RoadAccidents,0.8320403479188285,0.025562460096012946
Robbery,0.8099492210812361,0.02128071965527343
Shooting,0.9412167912110094,0.1681986840534301
Shoplifting,0.8539131485582402,0.22895191578037677
Stealing,0.9790715322164487,0.5896741347401848
Vandalism,0.8599558972951977,0.08489340876696183
