category,auc,ap
Abuse,0.9253199643736941,0.0024791101739631825
Arrest,0.8546224568768934,0.19848766198748222
Arson,0.9506142608240642,0.18727578249061172
Assault,0.9722214931400646,0.5211525684621512
Burglary,0.8608955241115482,0.14790120223341377
Explosion,0.8270569875234068,0.05075189527008111
Fighting,0.8362572900092554,0.029706016669750698
RoadAccidents,0.8519273175371843,0.050739050442062
Robbery,0.8149331225139518,0.01724906382517085
Shooting,0.9376833509772451,0.18605484737138805
Shoplifting,0.8471017635451739,0.12742652507487356
Stealing,0.9594796855760437,0.5393975627470721
Vandalism,0.813659768840121,0.037755437174568564
