category,auc,ap
Abuse,0.7422635079827871,0.0008734467837039146
Arrest,0.8792309219006285,0.1390106397749327
Arson,0.9457881861562875,0.18271324440128126
Assault,0.9728480094219166,0.36204887450901113
Burglary,0.9270633758603792,0.3460956287836533
Explosion,0.881266414226442,0.04582257798222276
Fighting,0.8637557170416711,0.02589694248026396
RoadAccidents,0.8656136501210654,0.013277940109847945
Robbery,0.9184151113452098,0.038901532410972155
Shooting,0.930818815484426,0.20593773053774708
Shoplifting,0.8751279224077859,0.14494520773452632
Stealing,0.981220129979614,0.5765719064847232
Vandalism,0.9627552874273425,0.15102864736807625
