category,auc,ap
Abuse,0.7760641604820855,0.001037494586996568
Arrest,0.8750223641380928,0.08557492933233722
Arson,0.9379224023730734,0.1629951002776825
Assault,0.9761397646948369,0.3095964471037973
Burglary,0.9346148265490802,0.3078369227456054
Explosion,0.9000221561403954,0.05583436613669389
Fighting,0.8561338817406264,0.027261930970021206
RoadAccidents,0.8628018527326184,0.01300572439824986
Robbery,0.9350625820044175,0.07797665094072989
Shooting,0.9340558464722087,0.1909604307600775
Shoplifting,0.8972489915057916,0.13648851593160324
Stealing,0.9791631157298835,0.2445961535636878
Vandalism,0.9794986799101595,0.16101777318446772
