category,auc,ap
Abuse,0.7252669536780069,0.0008626373508651533
Arrest,0.898160139270556,0.1705433902558332
Arson,0.9455404760598871,0.15818634224153816
Assault,0.9690348988081781,0.19656040652038467
Burglary,0.9261864546779588,0.21002140602070057
Explosion,0.8866142182178591,0.04968310092761632
Fighting,0.8616477081968876,0.026259606579475275
RoadAccidents,0.8326590964775741,0.012367855361671449
Robbery,0.9042782833794327,0.03243626648783877
Shooting,0.9308338423614789,0.14789549523595613
Shoplifting,0.8725804154028072,0.06611673329129648
Stealing,0.9797141751352676,0.20623954678681353
Vandalism,0.9680702593788368,0.11562250522071753
