category,auc,ap
Abuse,0.9874603881474321,0.025313848431942357
Arrest,0.8653773305015962,0.10785568611679393
Arson,0.9665068225440514,0.27489099374800235
Assault,0.9372446411798531,0.12632763143761094
Burglary,0.9217238717438221,0.23875257505452002
Explosion,0.9031403330106866,0.10535381964067297
Fighting,0.766959802095457,0.023731485875267945
RoadAccidents,0.8860414504784964,0.016040505094265658
Robbery,0.8199204521695365,0.067151596513528
Shooting,0.9361084385886344,0.1595232154338886
Shoplifting,0.8454003656732219,0.07288353305953564
Stealing,0.9741195337287902,0.35251875660235865
Vandalism,0.9589763983169032,0.09187484714270752
