category,auc,ap
Abuse,0.9860571638498238,0.015315773987020635
Arrest,0.801757219043147,0.0860584565136902
Arson,0.9681175386449964,0.268660619675066
Assault,0.9307269501094692,0.1663694118508126
Burglary,0.9059518664414807,0.21724617269341434
Explosion,0.9093926791034629,0.08753527763698249
Fighting,0.8387129207809965,0.029339123436656803
RoadAccidents,0.9048764844921019,0.025541958928883897
Robbery,0.8566172312847702,0.04059460595475483
Shooting,0.9382018235853773,0.16554846576805649
Shoplifting,0.8125964470266865,0.054130689605360854
Stealing,0.9736293511748747,0.28125941853873754
Vandalism,0.9812695912663485,0.0921114480692384
