category,auc,ap
Abuse,0.9640742909819452,0.009522603535917409
Arrest,0.7510512739805684,0.044418684734008694
Arson,0.933703549703947,0.2185094740386824
Assault,0.8671161870438837,0.050198426069629404
Burglary,0.8704616313368012,0.11808770473501559
Explosion,0.8861066549116203,0.10235086309141661
Fighting,0.8455869735731413,0.03957612215284287
RoadAccidents,0.8784025315634729,0.017337489477976448
Robbery,0.7578017679916708,0.02520803468595222
Shooting,0.8953278041810482,0.11197121349209041
Shoplifting,0.7923731684777893,0.032128890269748786
Stealing,0.9400836258385575,0.20833936752190726
Vandalism,0.91798576810893,0.05435047850733698
