category,auc,ap
Abuse,0.8291684044560168,0.011402362582442122
Arrest,0.8129590793195859,0.08047867230485602
Arson,0.9468234597813185,0.253097804775715
Assault,0.9320756207584324,0.11710365652661192
Burglary,0.9046530744898323,0.214003162028298
Explosion,0.930104717812207,0.09947684997593051
Fighting,0.8123141170495999,0.020574714155766997
RoadAccidents,0.8820744876340367,0.02089734600558996
Robbery,0.9255304287225328,0.05596391249061132
Shooting,0.9256363378756534,0.15827643476695577
Shoplifting,0.8437984167939578,0.07228255353146311
Stealing,0.9683262953255365,0.26327749081076357
Vandalism,0.9797114279804143,0.09087956684103438
