category,auc,ap
Abuse,0.858800798668496,0.0014794499716831561
Arrest,0.7237303824818787,0.027243147447419975
Arson,0.7803472901398012,0.11160599887373684
Assault,0.689863086020056,0.025604654812930207
Burglary,0.7825629923951198,0.06037754103431798
Explosion,0.8236119107697144,0.052867530611360423
Fighting,0.5903283719710503,0.011232222481601422
RoadAccidents,0.7598457497405742,0.007489924941873315
Robbery,0.5668317355978215,0.007591070180167626
Shooting,0.7640317722975167,0.0528293361551216
Shoplifting,0.6581157561221807,0.0174671250110578
Stealing,0.8225753105153712,0.060517923536557036
Vandalism,0.8820849788300005,0.01807396103530435
